./main.o data_image.txt query_image.txt 10 0.5 1
Pre processing Time: 129 ms
a: 408 , b: 58 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091574696 b1:-102400 b2:1091574695 theta: 263913.999994
a: 408 , b: 59 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091574700 b1:-102400 b2:1091574699 theta: 263914.999994
a: 408 , b: 60 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091574704 b1:-102400 b2:1091574703 theta: 263915.999994
a: 408 , b: 61 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091574708 b1:-102400 b2:1091574707 theta: 263916.999994
a: 408 , b: 62 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091574712 b1:-102400 b2:1091574711 theta: 263917.999994
a: 408 , b: 63 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091574716 b1:-102400 b2:1091574715 theta: 263918.999994
a: 407 , b: 456 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091574080 b1:-102400 b2:1091574079 theta: 263759.999994
a: 407 , b: 457 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091574084 b1:-102400 b2:1091574083 theta: 263760.999994
a: 407 , b: 458 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091574088 b1:-102400 b2:1091574087 theta: 263761.999994
a: 407 , b: 459 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091574092 b1:-102400 b2:1091574091 theta: 263762.999994
a: 407 , b: 460 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091574096 b1:-102400 b2:1091574095 theta: 263763.999994
a: 407 , b: 461 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091574100 b1:-102400 b2:1091574099 theta: 263764.999994
a: 407 , b: 462 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091574104 b1:-102400 b2:1091574103 theta: 263765.999994
a: 407 , b: 463 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091574108 b1:-102400 b2:1091574107 theta: 263766.999994
a: 407 , b: 464 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091574112 b1:-102400 b2:1091574111 theta: 263767.999994
a: 407 , b: 465 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091574116 b1:-102400 b2:1091574115 theta: 263768.999994
a: 407 , b: 466 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091574120 b1:-102400 b2:1091574119 theta: 263769.999994
a: 407 , b: 467 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091574124 b1:-102400 b2:1091574123 theta: 263770.999994
a: 407 , b: 468 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091574128 b1:-102400 b2:1091574127 theta: 263771.999994
a: 407 , b: 469 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091574132 b1:-102400 b2:1091574131 theta: 263772.999994
a: 407 , b: 470 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091574136 b1:-102400 b2:1091574135 theta: 263773.999994
a: 407 , b: 471 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091574140 b1:-102400 b2:1091574139 theta: 263774.999994
a: 407 , b: 472 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091574144 b1:-102400 b2:1091574143 theta: 263775.999994
a: 407 , b: 473 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091574148 b1:-102400 b2:1091574147 theta: 263776.999994
a: 407 , b: 474 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091574152 b1:-102400 b2:1091574151 theta: 263777.999994
a: 407 , b: 475 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091574156 b1:-102400 b2:1091574155 theta: 263778.999994
a: 407 , b: 476 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091574160 b1:-102400 b2:1091574159 theta: 263779.999994
a: 407 , b: 477 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091574164 b1:-102400 b2:1091574163 theta: 263780.999994
a: 407 , b: 478 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091574168 b1:-102400 b2:1091574167 theta: 263781.999994
a: 407 , b: 479 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091574172 b1:-102400 b2:1091574171 theta: 263782.999994
a: 407 , b: 480 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091574176 b1:-102400 b2:1091574175 theta: 263783.999994
a: 407 , b: 481 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091574180 b1:-102400 b2:1091574179 theta: 263784.999994
a: 407 , b: 482 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091574184 b1:-102400 b2:1091574183 theta: 263785.999994
a: 407 , b: 483 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091574188 b1:-102400 b2:1091574187 theta: 263786.999994
a: 407 , b: 484 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091574192 b1:-102400 b2:1091574191 theta: 263787.999994
a: 407 , b: 485 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091574196 b1:-102400 b2:1091574195 theta: 263788.999994
a: 407 , b: 486 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091574200 b1:-102400 b2:1091574199 theta: 263789.999994
a: 407 , b: 487 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091574204 b1:-102400 b2:1091574203 theta: 263790.999994
a: 408 , b: 128 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091574976 b1:-102400 b2:1091574975 theta: 263983.999994
a: 408 , b: 129 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091574980 b1:-102400 b2:1091574979 theta: 263984.999994
a: 408 , b: 130 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091574984 b1:-102400 b2:1091574983 theta: 263985.999994
a: 408 , b: 131 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091574988 b1:-102400 b2:1091574987 theta: 263986.999994
a: 408 , b: 132 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091574992 b1:-102400 b2:1091574991 theta: 263987.999994
a: 408 , b: 133 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091574996 b1:-102400 b2:1091574995 theta: 263988.999994
a: 408 , b: 134 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091575000 b1:-102400 b2:1091574999 theta: 263989.999994
a: 408 , b: 135 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091575004 b1:-102400 b2:1091575003 theta: 263990.999994
a: 408 , b: 136 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091575008 b1:-102400 b2:1091575007 theta: 263991.999994
a: 408 , b: 137 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091575012 b1:-102400 b2:1091575011 theta: 263992.999994
a: 408 , b: 138 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091575016 b1:-102400 b2:1091575015 theta: 263993.999994
a: 408 , b: 139 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091575020 b1:-102400 b2:1091575019 theta: 263994.999994
a: 408 , b: 140 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091575024 b1:-102400 b2:1091575023 theta: 263995.999994
a: 408 , b: 141 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091575028 b1:-102400 b2:1091575027 theta: 263996.999994
a: 408 , b: 142 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091575032 b1:-102400 b2:1091575031 theta: 263997.999994
a: 408 , b: 143 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091575036 b1:-102400 b2:1091575035 theta: 263998.999994
a: 408 , b: 144 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091575040 b1:-102400 b2:1091575039 theta: 263999.999994
a: 408 , b: 145 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091575044 b1:-102400 b2:1091575043 theta: 264000.999994
a: 408 , b: 146 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091575048 b1:-102400 b2:1091575047 theta: 264001.999994
a: 408 , b: 147 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091575052 b1:-102400 b2:1091575051 theta: 264002.999994
a: 408 , b: 148 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091575056 b1:-102400 b2:1091575055 theta: 264003.999994
a: 408 , b: 149 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091575060 b1:-102400 b2:1091575059 theta: 264004.999994
a: 408 , b: 150 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091575064 b1:-102400 b2:1091575063 theta: 264005.999994
a: 408 , b: 151 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091575068 b1:-102400 b2:1091575067 theta: 264006.999994
a: 408 , b: 152 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091575072 b1:-102400 b2:1091575071 theta: 264007.999994
a: 408 , b: 153 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091575076 b1:-102400 b2:1091575075 theta: 264008.999994
a: 408 , b: 154 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091575080 b1:-102400 b2:1091575079 theta: 264009.999994
